city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,3,233.19549843373755,2,9.666666666666666,0.9374802748671204
Cape Town,2,222.2313124451402,1,14.5,0.9646221689375784
Hyderabad,3,223.98020996234538,2,9.666666666666666,0.9298281740430135
Kingston,3,208.54296833812504,2,9.666666666666666,0.9324577474353951
London,3,232.4630621108809,2,9.666666666666666,0.9393006054066756
Marseille,2,245.03129968690703,1,14.5,0.9715204666019629
New York City,3,216.5357669913729,2,9.666666666666666,0.9109512822410032
Oslo,3,215.55117473186414,2,9.666666666666666,0.9356710129855679
Rome,3,197.4213974172756,2,9.666666666666666,0.9273109861794003
Toronto,3,207.651003481442,2,9.666666666666666,0.9248428566228384
