city,n_states,bic,transitions,avg_state_duration,self_transition_prob,feature
Calgary,2,100.95209621750772,2,9.666666666666666,0.6822302290274307,temp_mean_K
Cape Town,2,89.568771016937,1,14.5,0.9428110782760862,temp_mean_K
Hyderabad,2,92.29882667810554,1,14.5,0.9716279608804546,temp_mean_K
Kingston,2,94.01704313422002,1,14.5,0.9781143465283111,temp_mean_K
London,2,96.51384251033943,4,5.8,0.7042896107095024,temp_mean_K
Marseille,2,101.26874663358255,1,14.5,0.9792657035455801,temp_mean_K
New York City,2,99.3662051361501,10,2.6363636363636362,0.6364728315727763,temp_mean_K
Oslo,2,97.58473670427095,4,5.8,0.45419626982438327,temp_mean_K
Rome,2,95.33797128750442,1,14.5,0.9791761202091707,temp_mean_K
Toronto,2,97.43051476090996,10,2.6363636363636362,0.6408863012834812,temp_mean_K
Calgary,2,100.50178980518554,4,5.8,0.805037222609861,wind_speed_mean_ms
Cape Town,2,98.50254997683628,11,2.4166666666666665,0.47434309809668423,wind_speed_mean_ms
Hyderabad,2,99.32674948867727,1,14.5,0.6560058630345558,wind_speed_mean_ms
Kingston,2,98.05388060107423,1,14.5,0.9376539108167996,wind_speed_mean_ms
London,2,99.31192182531407,27,1.0357142857142858,0.04389391203173706,wind_speed_mean_ms
Marseille,2,97.23511176647906,3,7.25,0.48426600807658826,wind_speed_mean_ms
New York City,2,100.33666300024248,26,1.0740740740740742,0.14187089824130183,wind_speed_mean_ms
Oslo,2,89.86201270284391,3,7.25,0.4807944369059763,wind_speed_mean_ms
Rome,2,92.00771953337869,10,2.6363636363636362,0.3927364542660012,wind_speed_mean_ms
Toronto,2,98.90607461473842,1,14.5,0.4902826844262131,wind_speed_mean_ms
Calgary,2,101.25710674105459,11,2.4166666666666665,0.5740465256543243,precip_total_mm
Cape Town,3,94.89916756960955,22,1.2608695652173914,0.21929175389461,precip_total_mm
Hyderabad,2,87.54383525055871,7,3.625,0.4354044547526091,precip_total_mm
Kingston,2,101.02645373655987,10,2.6363636363636362,0.3945789116056091,precip_total_mm
London,2,98.70223162138493,15,1.8125,0.45917734804822147,precip_total_mm
Marseille,2,99.33151097063117,13,2.0714285714285716,0.5620160189962655,precip_total_mm
New York City,2,95.33479969542188,24,1.16,0.1679340273091183,precip_total_mm
Oslo,2,95.902467677933,2,9.666666666666666,0.9049909956573855,precip_total_mm
Rome,2,102.7222788134995,1,14.5,0.9624771460714758,precip_total_mm
Toronto,2,86.95964416813858,6,4.142857142857143,0.4416812914678627,precip_total_mm
Calgary,2,68.04107764679952,1,14.5,0.96431892634344,population
Cape Town,2,68.6638784238335,1,14.5,0.9663158844334129,population
Hyderabad,2,69.4616270950024,1,14.5,0.9665787023359325,population
Kingston,2,58.99539579371441,1,14.5,0.9666564623187982,population
London,2,63.390493499612916,1,14.5,0.9697574779198488,population
Marseille,3,56.64997550637546,2,9.666666666666666,0.9324750069681503,population
New York City,2,60.114768260625254,1,14.5,0.9491938415740544,population
Oslo,2,67.1791855717594,1,14.5,0.9705838678021518,population
Rome,3,68.35153199078513,3,7.25,0.9007944591101321,population
Toronto,2,67.2787280342552,1,14.5,0.9675613662309122,population
Calgary,2,70.3139585706773,1,14.5,0.9674893717311981,built_up_area_m2
Cape Town,3,63.365557051742115,2,9.666666666666666,0.9349986478350257,built_up_area_m2
Hyderabad,3,70.7504992559,2,9.666666666666666,0.9300972415726504,built_up_area_m2
Kingston,3,73.29720127566719,2,9.666666666666666,0.9360513405152017,built_up_area_m2
London,3,67.28291170292707,2,9.666666666666666,0.9332593084298169,built_up_area_m2
Marseille,2,69.91647621262798,1,14.5,0.9654342458537309,built_up_area_m2
New York City,3,67.48991319649268,2,9.666666666666666,0.9312160993032949,built_up_area_m2
Oslo,2,70.55115751430064,1,14.5,0.9615190863705649,built_up_area_m2
Rome,3,69.52855846990377,2,9.666666666666666,0.9341384835358034,built_up_area_m2
Toronto,3,69.4973543863301,2,9.666666666666666,0.9340306992432726,built_up_area_m2
Calgary,3,63.11899710336465,2,9.666666666666666,0.9010581252620312,gdp_ppp
Cape Town,3,50.54369317608451,2,9.666666666666666,0.9250557262921125,gdp_ppp
Hyderabad,3,54.8853913916556,2,9.666666666666666,0.9369556524450751,gdp_ppp
Kingston,2,86.99638799812621,2,9.666666666666666,0.9152107204522489,gdp_ppp
London,2,67.6649805291552,1,14.5,0.9505832032786121,gdp_ppp
Marseille,3,49.70606068708708,2,9.666666666666666,0.9287000464972127,gdp_ppp
New York City,3,68.23038922765583,2,9.666666666666666,0.9366194854949925,gdp_ppp
Oslo,2,56.0986445482484,1,14.5,0.9506005438600923,gdp_ppp
Rome,2,66.91906497817297,2,9.666666666666666,0.9285364261191746,gdp_ppp
Toronto,2,65.75586068823034,1,14.5,0.946772416864617,gdp_ppp
Calgary,2,62.78479150195254,1,14.5,0.9627218702125879,hdi
Cape Town,2,80.7310523307068,3,7.25,0.8925197362962918,hdi
Hyderabad,2,54.82199792964985,1,14.5,0.9582141193313309,hdi
Kingston,3,45.867468899672076,2,9.666666666666666,0.9309668719304413,hdi
London,2,53.07741167482173,1,14.5,0.9649795495128581,hdi
Marseille,2,68.08094436786673,1,14.5,0.9643387670006786,hdi
New York City,2,65.74725972329395,1,14.5,0.971359677039227,hdi
Oslo,3,35.44073664951966,2,9.666666666666666,0.9232001177958677,hdi
Rome,3,38.01678451357385,2,9.666666666666666,0.9251463914298088,hdi
Toronto,3,73.72271301401435,2,9.666666666666666,0.9398222129037547,hdi
Calgary,2,64.20926811720408,1,14.5,0.9597920226686818,pop_exposed_flood_10yr
Cape Town,2,67.20976733712607,1,14.5,0.9653512689716748,pop_exposed_flood_10yr
Hyderabad,2,70.0997606900652,1,14.5,0.9664575270368296,pop_exposed_flood_10yr
Kingston,3,75.39725579024295,5,4.833333333333333,0.8656860005354471,pop_exposed_flood_10yr
London,2,63.32147505025293,1,14.5,0.9696346344840636,pop_exposed_flood_10yr
Marseille,2,62.01814182368881,1,14.5,0.9644209337819559,pop_exposed_flood_10yr
New York City,3,65.01047777852216,2,9.666666666666666,0.9326719241162,pop_exposed_flood_10yr
Oslo,2,63.09973757417043,1,14.5,0.9677700848572475,pop_exposed_flood_10yr
Rome,3,69.49864158509286,2,9.666666666666666,0.9217880452634377,pop_exposed_flood_10yr
Toronto,2,66.38599845734548,1,14.5,0.9656679910445378,pop_exposed_flood_10yr
Calgary,2,60.66134973197829,1,14.5,0.9601351104042305,co2_emissions_ton
Cape Town,3,25.289535696770223,2,9.666666666666666,0.8598758572656902,co2_emissions_ton
Hyderabad,3,42.2099438385047,2,9.666666666666666,0.9316957337744171,co2_emissions_ton
Kingston,2,42.09211372008409,1,14.5,0.9688300028970742,co2_emissions_ton
London,3,59.44977787488407,2,9.666666666666666,0.9285352066565867,co2_emissions_ton
Marseille,3,39.76468974748115,2,9.666666666666666,0.935357009467754,co2_emissions_ton
New York City,2,57.58271165435974,1,14.5,0.9706369165497628,co2_emissions_ton
Oslo,3,46.31562038341626,2,9.666666666666666,0.9268156914472043,co2_emissions_ton
Rome,3,70.63119381118855,3,7.25,0.91900679729353,co2_emissions_ton
Toronto,2,85.98823613732121,3,7.25,0.8857351304753311,co2_emissions_ton
Calgary,2,62.05509129825863,1,14.5,0.9600452105340732,ghg_emissions_ton
Cape Town,3,18.057130108247648,2,9.666666666666666,0.8802290059518959,ghg_emissions_ton
Hyderabad,3,28.53241481970351,2,9.666666666666666,0.9327505456335725,ghg_emissions_ton
Kingston,2,43.06669337558127,1,14.5,0.9705560614177867,ghg_emissions_ton
London,2,68.92465493086682,1,14.5,0.9739293512933869,ghg_emissions_ton
