city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,70.3139585706773,1,14.5,0.9674893717311981
Cape Town,3,63.365557051742115,2,9.666666666666666,0.9349986478350257
Hyderabad,3,70.7504992559,2,9.666666666666666,0.9300972415726504
Kingston,3,73.29720127566719,2,9.666666666666666,0.9360513405152017
London,3,67.28291170292707,2,9.666666666666666,0.9332593084298169
Marseille,2,69.91647621262798,1,14.5,0.9654342458537309
New York City,3,67.48991319649268,2,9.666666666666666,0.9312160993032949
Oslo,2,70.55115751430064,1,14.5,0.9615190863705649
Rome,3,69.52855846990377,2,9.666666666666666,0.9341384835358034
Toronto,3,69.4973543863301,2,9.666666666666666,0.9340306992432726
