city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,60.66134973197829,1,14.5,0.9601351104042305
Cape Town,3,25.289535696770223,2,9.666666666666666,0.8598758572656902
Hyderabad,3,42.2099438385047,2,9.666666666666666,0.9316957337744171
Kingston,2,42.09211372008409,1,14.5,0.9688300028970742
London,3,59.44977787488407,2,9.666666666666666,0.9285352066565867
Marseille,3,39.76468974748115,2,9.666666666666666,0.935357009467754
New York City,2,57.58271165435974,1,14.5,0.9706369165497628
Oslo,3,46.31562038341626,2,9.666666666666666,0.9268156914472043
Rome,3,70.63119381118855,3,7.25,0.91900679729353
Toronto,2,85.98823613732121,3,7.25,0.8857351304753311
