city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,3,63.11899710336465,2,9.666666666666666,0.9010581252620312
Cape Town,3,50.54369317608451,2,9.666666666666666,0.9250557262921125
Hyderabad,3,54.8853913916556,2,9.666666666666666,0.9369556524450751
Kingston,2,86.99638799812621,2,9.666666666666666,0.9152107204522489
London,2,67.6649805291552,1,14.5,0.9505832032786121
Marseille,3,49.70606068708708,2,9.666666666666666,0.9287000464972127
New York City,3,68.23038922765583,2,9.666666666666666,0.9366194854949925
Oslo,2,56.0986445482484,1,14.5,0.9506005438600923
Rome,2,66.91906497817297,2,9.666666666666666,0.9285364261191746
Toronto,2,65.75586068823034,1,14.5,0.946772416864617
