city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,62.05509129825863,1,14.5,0.9600452105340732
Cape Town,3,18.057130108247648,2,9.666666666666666,0.8802290059518959
Hyderabad,3,28.53241481970351,2,9.666666666666666,0.9327505456335725
Kingston,2,43.06669337558127,1,14.5,0.9705560614177867
London,2,68.92465493086682,1,14.5,0.9739293512933869
Marseille,2,53.891847507009004,1,14.5,0.9762685094817273
New York City,2,59.06204724917876,1,14.5,0.9712526093570988
Oslo,3,63.679743396740776,2,9.666666666666666,0.944500248785765
Rome,3,35.49365156410591,2,9.666666666666666,0.9423042654165997
Toronto,2,85.25538977615379,3,7.25,0.8874293674876156
