city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,62.78479150195254,1,14.5,0.9627218702125879
Cape Town,2,80.7310523307068,3,7.25,0.8925197362962918
Hyderabad,2,54.82199792964985,1,14.5,0.9582141193313309
Kingston,3,45.867468899672076,2,9.666666666666666,0.9309668719304413
London,2,53.07741167482173,1,14.5,0.9649795495128581
Marseille,2,68.08094436786673,1,14.5,0.9643387670006786
New York City,2,65.74725972329395,1,14.5,0.971359677039227
Oslo,3,35.44073664951966,2,9.666666666666666,0.9232001177958677
Rome,3,38.01678451357385,2,9.666666666666666,0.9251463914298088
Toronto,3,73.72271301401435,2,9.666666666666666,0.9398222129037547
