city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,64.20926811720408,1,14.5,0.9597920226686818
Cape Town,2,67.20976733712607,1,14.5,0.9653512689716748
Hyderabad,2,70.0997606900652,1,14.5,0.9664575270368296
Kingston,3,75.39725579024295,5,4.833333333333333,0.8656860005354471
London,2,63.32147505025293,1,14.5,0.9696346344840636
Marseille,2,62.01814182368881,1,14.5,0.9644209337819559
New York City,3,65.01047777852216,2,9.666666666666666,0.9326719241162
Oslo,2,63.09973757417043,1,14.5,0.9677700848572475
Rome,3,69.49864158509286,2,9.666666666666666,0.9217880452634377
Toronto,2,66.38599845734548,1,14.5,0.9656679910445378
