city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,68.04107764679952,1,14.5,0.96431892634344
Cape Town,2,68.6638784238335,1,14.5,0.9663158844334129
Hyderabad,2,69.4616270950024,1,14.5,0.9665787023359325
Kingston,2,58.99539579371441,1,14.5,0.9666564623187982
London,2,63.390493499612916,1,14.5,0.9697574779198488
Marseille,3,56.64997550637546,2,9.666666666666666,0.9324750069681503
New York City,2,60.114768260625254,1,14.5,0.9491938415740544
Oslo,2,67.1791855717594,1,14.5,0.9705838678021518
Rome,3,68.35153199078513,3,7.25,0.9007944591101321
Toronto,2,67.2787280342552,1,14.5,0.9675613662309122
