city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,101.25710674105459,11,2.4166666666666665,0.5740465256543243
Cape Town,3,94.89916756960955,22,1.2608695652173914,0.21929175389461
Hyderabad,2,87.54383525055871,7,3.625,0.4354044547526091
Kingston,2,101.02645373655987,10,2.6363636363636362,0.3945789116056091
London,2,98.70223162138493,15,1.8125,0.45917734804822147
Marseille,2,99.33151097063117,13,2.0714285714285716,0.5620160189962655
New York City,2,95.33479969542188,24,1.16,0.1679340273091183
Oslo,2,95.902467677933,2,9.666666666666666,0.9049909956573855
Rome,2,102.7222788134995,1,14.5,0.9624771460714758
Toronto,2,86.95964416813858,6,4.142857142857143,0.4416812914678627
