city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,100.95209621750772,2,9.666666666666666,0.6822302290274307
Cape Town,2,89.568771016937,1,14.5,0.9428110782760862
Hyderabad,2,92.29882667810554,1,14.5,0.9716279608804546
Kingston,2,94.01704313422002,1,14.5,0.9781143465283111
London,2,96.51384251033943,4,5.8,0.7042896107095024
Marseille,2,101.26874663358255,1,14.5,0.9792657035455801
New York City,2,99.3662051361501,10,2.6363636363636362,0.6364728315727763
Oslo,2,97.58473670427095,4,5.8,0.45419626982438327
Rome,2,95.33797128750442,1,14.5,0.9791761202091707
Toronto,2,97.43051476090996,10,2.6363636363636362,0.6408863012834812
