city,n_states,bic,transitions,avg_state_duration,self_transition_prob
Calgary,2,100.50178980518554,4,5.8,0.805037222609861
Cape Town,2,98.50254997683628,11,2.4166666666666665,0.47434309809668423
Hyderabad,2,99.32674948867727,1,14.5,0.6560058630345558
Kingston,2,98.05388060107423,1,14.5,0.9376539108167996
London,2,99.31192182531407,27,1.0357142857142858,0.04389391203173706
Marseille,2,97.23511176647906,3,7.25,0.48426600807658826
New York City,2,100.33666300024248,26,1.0740740740740742,0.14187089824130183
Oslo,2,89.86201270284391,3,7.25,0.4807944369059763
Rome,2,92.00771953337869,10,2.6363636363636362,0.3927364542660012
Toronto,2,98.90607461473842,1,14.5,0.4902826844262131
