target,model,feature_set,r2,rmse
co2_emissions_ton,RandomForest,full,0.9894968313114537,0.12551953114505338
co2_emissions_ton,GradientBoosting,full,0.9871066929210615,0.13906995086606636
co2_emissions_ton,MLP,full,0.43552698175964566,0.9201798773391314
co2_emissions_ton,RandomForest,weather_only,0.888041599332545,0.4098071024722468
co2_emissions_ton,GradientBoosting,weather_only,0.8576127554072877,0.4621539624426543
co2_emissions_ton,MLP,weather_only,0.7626703233521472,0.596660327011004
co2_emissions_ton,RandomForest,socio_only,0.9931571191647511,0.10131427163946743
co2_emissions_ton,GradientBoosting,socio_only,0.987057069236441,0.13933731965664747
co2_emissions_ton,MLP,socio_only,0.06386926968550888,1.1850028342041687
ghg_emissions_ton,RandomForest,full,0.9846492018268616,0.14573168861362001
ghg_emissions_ton,GradientBoosting,full,0.989089344303461,0.1228609705764053
ghg_emissions_ton,MLP,full,0.38508376253451515,0.9223515817062966
ghg_emissions_ton,RandomForest,weather_only,0.901119862812545,0.36986483824142036
ghg_emissions_ton,GradientBoosting,weather_only,0.875413575872312,0.41516800460329073
ghg_emissions_ton,MLP,weather_only,0.8152433009480603,0.5055785190729524
ghg_emissions_ton,RandomForest,socio_only,0.9862899115170887,0.13772368840339297
ghg_emissions_ton,GradientBoosting,socio_only,0.9886628647339832,0.12523916991206308
ghg_emissions_ton,MLP,socio_only,0.02144653853464007,1.1635385989251301
nox_emissions_ton,RandomForest,full,0.9868290587789148,0.12375296773855335
nox_emissions_ton,GradientBoosting,full,0.980318648848769,0.15127761600823228
nox_emissions_ton,MLP,full,0.5098340689157667,0.7549510231033385
nox_emissions_ton,RandomForest,weather_only,0.7882866302885465,0.4961595546984693
nox_emissions_ton,GradientBoosting,weather_only,0.7775217572731259,0.508617137787296
nox_emissions_ton,MLP,weather_only,0.7617762062110562,0.5263077742174938
nox_emissions_ton,RandomForest,socio_only,0.9892691347810671,0.11170293564094334
nox_emissions_ton,GradientBoosting,socio_only,0.9821262206886138,0.14416353151459763
nox_emissions_ton,MLP,socio_only,0.32835191010663234,0.8837269692011739
pm25_emissions_ton,RandomForest,full,0.9105276807045428,0.3164782225535629
pm25_emissions_ton,GradientBoosting,full,0.9732655656274822,0.17299557045874928
pm25_emissions_ton,MLP,full,0.5910010813811235,0.6766445108482056
pm25_emissions_ton,RandomForest,weather_only,0.799942258010826,0.4732353349329211
pm25_emissions_ton,GradientBoosting,weather_only,0.7574763187045291,0.5210465912940716
pm25_emissions_ton,MLP,weather_only,0.7733475149753415,0.5037090174147659
pm25_emissions_ton,RandomForest,socio_only,0.9459801246635186,0.24591004652331097
pm25_emissions_ton,GradientBoosting,socio_only,0.9671833507348455,0.19166667148745584
pm25_emissions_ton,MLP,socio_only,0.5827866807608136,0.6834056507074568
